Census SubDivision Code,Census SubDivision Name,Census Subdivision Label,Census Sub Division Type,Census Division Code,Census Division Name,Census Division Type,Census Consolidated SubDivision Code,Census Consolidated Subdivision Name,Total Population,Total Pop Age 0-4,Total Pop Age 5-9,Total Pop Age 10 -14,Total Pop Age 15-19,Total Pop Age 20-24,Total Pop Age 25-29,Total Pop Age 30-34,Total Pop Age 35-39,Total Pop Age 40-44,Total Pop Age 45-49,Total Pop Age 50-54,Total Pop Age 55-59,Total Pop Age 60-64,Total Pop Age 65-69,Total Pop Age 70-74,Total Pop Age 75-79,Total Pop Age 80-84,Total Pop Age 85+,Total Census Family Households,Total Lone-Parent Family Households,Lone Parent Family Households with 1 Child,Lone Parent Family Households with 2 Children,Lone Parent Family Households with 3+ Children,Total Lone-Parent Female Family Households,Female Lone Parent Family Households with 1 Child,Female Lone Parent Family Households with 2 Children,Female Lone Parent Family Households with 3+ Children,Total Lone-Parent Male Family Households,Male Lone Parent Family Households with 1 Child,Male Lone Parent Family Households with 2 Children,Male Lone Parent Family Households with 3+ Children,Total Househoulds by Income,Households Income 0-19999,Households Income 20000-39999,Households Income 40000-59999,Households Income 60000-79999,Households Income 80000-99999,Households 100000+,Average Household Income,Household Population 25-64,Household 25-64 Education No Certificate Diploma Degree,Household 25-64 Education High School Diploma or Eq,Household 25-64 Education Apprenticeship Trades or Diploma,Household 25-64 Education College CEGEP Certificate or Diploma,Household 25-64 Education University Diploma or Cert Below Bachelor,Household 25-64 Education University Diploma or Cert Bachelor Level or above,Household Population 15Years or Over for Labor Force,Household population In the Labour Force,Household Pop Age 15+ Employed,Household Pop Age 15+ Unemployed,Household Pop Age 15+ Not in Labour Force,Household Population for Visible Minority,Household Population with Visible Minority,Household Population Chinese Visible Minority,Household Population South Asian Visible Minority,Household Population Black Visible Minority,Household Population Filipino Visible Minority,Household Population Latin American Visible Minority,Household Population Chinese Southeast Asian Minority,Household Population Arab Visible Minority,Household Population West Asian Visible Minority,Household Population Korean Visible Minority,Household Population Japanese Visible Minority,Household Population Other Visible Minority,Household Population Multiple Visible Minority,Household Population NOT a Visible Minority,Household Population for Aboriginal Identity,Household Population with Aboriginal Identity,Household Population with Non-Aboriginal Identity,Household Population for Immigrant Status,Household Population Non-Immigrant,Household Population Non-Immigrant in Province of Birth,Household Population Non-Immigrant outside of Province of Birth,Household Population Immigrant,Household Population for Recent Immigrants (2017-Present),Household Population of Recent Immigrants (2017-Present),Total Households For Household Size,1 Person Household,2 Persons Household,3 Persons Household,4 Persons Household,5 or more Persons Household
5917811,"Esquimalt, BC (IRI)",Esquimalt,Indian reserve,5917,"Capital, BC (RD)",Regional district,5917056,"Juan de Fuca (Part 2), BC",120,6,8,8,7,6,9,8,7,6,6,7,8,8,8,8,4,3,3,25,11,5,4,2,6,3,2,1,5,2,2,1,49,4,8,8,7,6,16,95002.91,59,15,17,8,13,0,6,98,63,60,3,35,120,5,1,1,1,1,0,0,0,1,0,0,0,0,115,120,89,31,120,100,73,27,15,120,1,49,13,18,7,5,6
5907049,"Okanagan-Similkameen E, BC (RDA)",Okanagan-Similkameen E,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907049,"Okanagan-Similkameen E, BC",2006,61,75,79,90,92,74,86,84,96,118,138,192,221,207,170,108,64,51,629,79,48,27,4,49,29,17,3,31,20,10,1,828,53,146,127,97,87,318,101685.9486,1004,32,272,115,278,29,278,1780,1094,1012,82,686,1995,105,0,42,11,10,11,11,0,0,0,20,0,0,1890,1995,108,1887,1995,1604,949,655,383,1995,12,828,172,418,109,86,43
5909832,"Seabird Island, BC (IRI)",Seabird Island,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",928,110,100,91,77,74,80,74,50,35,45,44,50,38,25,19,9,3,4,200,88,47,24,17,62,28,21,13,29,21,4,4,246,59,69,47,27,22,22,49395.74,416,104,87,16,140,55,14,627,392,322,70,235,928,4,0,0,0,0,0,4,0,0,0,0,0,0,924,928,893,35,928,665,375,290,263,928,70,246,38,59,58,32,59
5909062,"Fraser Valley G, BC (RDA)",Fraser Valley G,Regional district electoral area,5909,"Fraser Valley, BC (RD)",Regional district,5909062,"Fraser Valley G, BC",2039,92,87,107,127,129,99,92,102,107,128,177,217,172,140,106,73,50,34,512,71,39,23,9,49,25,18,6,26,17,6,3,791,78,174,126,90,83,240,85180.09871,1094,195,430,191,164,30,84,1753,1098,1029,69,655,2039,271,14,140,63,18,0,0,0,0,11,0,0,25,1768,2039,187,1852,2039,1712,1330,382,309,2039,72,791,241,279,98,94,79
5907806,"Blind Creek 6, BC (IRI)",Blind Creek 6,Indian reserve,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907053,"Okanagan-Similkameen G, BC",28,3,3,3,2,2,0,0,3,2,2,4,2,0,1,1,0,0,0,6,1,0,0,1,1,0,0,1,0,0,0,0,9,3,3,0,1,0,2,52986.73,13,0,6,0,0,1,6,19,13,13,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,0,28,28,28,0,0,28,0,9,5,0,0,0,4
5909875,"Q'alatkú7em, BC (IRI)",Q'alatkú7em,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",86,6,8,11,11,14,6,3,2,6,6,5,2,2,2,1,0,1,0,24,13,2,9,2,13,2,9,2,0,0,0,0,35,9,11,6,5,3,1,39752.82,32,11,13,0,0,8,0,61,42,42,0,19,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,72,14,86,85,81,4,1,86,0,35,10,10,7,5,3
5907802,"Osoyoos 1, BC (IRI)",Osoyoos 1,Indian reserve,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907028,"Okanagan-Similkameen C, BC",878,50,41,36,30,34,44,45,32,28,36,58,65,80,83,87,65,36,28,254,51,28,17,6,38,18,14,6,14,11,3,0,364,38,88,75,70,33,60,67013.84426,388,99,72,36,128,12,41,751,359,314,45,392,878,1,0,0,0,0,0,0,0,0,0,1,0,0,877,878,603,275,878,774,406,368,95,878,16,364,89,183,42,25,25
5907055,"Okanagan-Similkameen H, BC (RDA)",Okanagan-Similkameen H,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907055,"Okanagan-Similkameen H, BC",1995,51,48,50,58,54,55,62,75,73,99,155,214,271,243,222,144,76,45,636,39,34,3,2,23,20,2,1,17,15,1,1,896,63,199,159,116,83,276,84580.88703,986,186,336,121,235,21,87,1798,969,902,67,829,1947,3,0,0,0,0,3,0,0,0,0,0,0,0,1944,1947,181,1766,1947,1710,1227,483,223,1947,2,896,217,493,96,65,25
5909880,"Lakahahmen 11, BC (IRI)",Lakahahmen 11,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909062,"Fraser Valley G, BC",190,5,10,14,13,8,6,13,20,14,11,11,17,17,11,6,7,4,3,50,14,8,6,0,13,7,6,0,1,1,0,0,75,19,22,14,9,5,6,44196.71,109,23,37,14,27,8,0,161,102,86,16,59,190,4,0,0,0,0,0,0,0,0,0,0,4,0,186,190,74,116,190,189,133,56,1,190,0,75,23,23,14,10,5
5923809,"Numukamis 1, BC (IRI)",Numukamis 1,Indian reserve,5923,"Alberni-Clayoquot, BC (RD)",Regional district,5923047,"Alberni-Clayoquot A, BC",4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,40495.74,1,0,0,0,0,0,1,2,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,4,4,4,0,0,4,0,1,0,0,0,1,0
5919016,"Lake Cowichan, BC (T)",Lake Cowichan,Town,5919,"Cowichan Valley, BC (RD)",Regional district,5919033,"Cowichan Valley F, BC",3639,155,167,165,181,178,167,173,209,224,217,228,299,326,321,276,176,98,79,1171,196,146,40,10,150,105,36,9,46,41,4,1,1789,195,432,340,263,190,369,67189.39664,1843,272,691,211,469,44,156,3141,1773,1637,136,1368,3628,153,15,104,0,21,0,0,0,0,0,0,0,13,3475,3628,351,3277,3628,3382,2253,1129,242,3628,29,1789,588,772,247,155,27
5915065,"Lions Bay, BC (VL)",Lions Bay,Village,5915,"Greater Vancouver, BC (RD)",Regional district,5915020,"Greater Vancouver A, BC",1440,50,62,78,88,68,55,49,55,91,97,113,126,138,121,113,72,36,28,466,34,18,13,3,34,17,14,3,2,2,0,0,550,13,36,46,45,44,366,171158.7877,724,11,108,47,122,56,380,1250,824,788,36,426,1440,122,36,5,0,9,38,0,0,26,0,3,5,0,1318,1440,7,1433,1440,917,537,380,523,1440,90,550,79,234,96,100,41
5909833,"Scowlitz 1, BC (IRI)",Scowlitz 1,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",12,1,1,1,0,1,2,1,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,40026.26,8,4,4,0,0,0,0,9,7,7,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,11,1,12,11,11,0,1,12,0,4,1,2,0,0,1
5901801,"Tobacco Plains 2, BC (IRI)",Tobacco Plains 2,Indian reserve,5901,"East Kootenay, BC (RD)",Regional district,5901019,"East Kootenay B, BC",86,4,5,3,7,8,6,7,5,5,5,5,8,8,5,2,0,2,1,23,5,0,5,0,5,0,5,0,0,0,0,0,28,3,9,5,5,2,4,60364.06,49,21,8,8,12,0,0,74,40,40,0,34,86,4,0,0,4,0,0,0,0,0,0,0,0,0,82,86,83,3,86,76,57,19,6,86,1,28,6,11,6,0,5
5919049,"Cowichan Valley C, BC (RDA)",Cowichan Valley C,Regional district electoral area,5919,"Cowichan Valley, BC (RD)",Regional district,5919046,"Cowichan Valley B, BC",5356,155,190,237,236,221,168,181,214,228,272,342,439,498,539,543,376,260,257,1705,150,90,50,10,108,63,39,6,46,31,11,4,2281,109,318,323,320,280,931,102821.762,2342,188,689,300,483,59,623,4728,2326,2225,101,2402,5310,257,86,70,0,15,25,13,0,0,0,18,0,30,5053,5310,209,5101,5310,4336,2427,1909,895,5310,49,2281,522,1159,269,221,110
5909827,"Soowahlie 14, BC (IRI)",Soowahlie 14,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909036,"Fraser Valley E, BC",292,19,18,25,23,20,15,25,26,16,16,22,21,14,8,6,7,5,6,62,26,20,3,3,22,17,2,3,6,4,2,0,83,21,24,15,9,6,8,45388.83,155,48,43,16,36,12,0,230,157,130,27,73,292,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292,281,11,292,289,188,101,1,292,0,83,16,21,17,12,17
5915805,"Coquitlam 1, BC (IRI)",Coquitlam 1,Indian reserve,5915,"Greater Vancouver, BC (RD)",Regional district,5915020,"Greater Vancouver A, BC",67,11,8,6,6,3,9,5,6,4,2,3,3,1,0,0,0,0,0,13,1,1,0,0,0,0,0,0,1,1,0,0,26,3,4,6,8,1,4,73682.86,33,0,12,13,8,0,0,42,30,28,2,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,0,67,46,31,15,21,67,6,26,10,4,6,4,2
5941829,"Chilco Lake 1A, BC (IRI)",Chilco Lake 1A,Indian reserve,5941,"Cariboo, BC (RD)",Regional district,5941039,"Cariboo J, BC",24,4,3,3,2,0,1,1,1,1,1,1,1,2,1,1,0,0,1,7,1,1,0,0,1,1,0,0,0,0,0,0,12,4,4,1,0,2,1,43265.95,9,4,5,0,0,0,0,14,9,8,1,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,24,23,23,0,1,24,0,12,5,4,2,0,1
5931831,"Slosh 1, BC (IRI)",Slosh 1,Indian reserve,5931,"Squamish-Lillooet, BC (RD)",Regional district,5931034,"Squamish-Lillooet B, BC",194,15,11,10,12,8,18,13,10,10,10,13,18,20,12,7,2,2,3,51,17,11,5,1,11,7,3,1,6,4,2,0,98,20,33,15,14,7,9,48606.16102,112,13,35,17,47,0,0,158,92,87,5,66,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,182,12,194,194,194,0,0,194,0,98,47,25,14,5,7
5929018,"Sunshine Coast A, BC (RDA)",Sunshine Coast A,Regional district electoral area,5929,"Sunshine Coast, BC (RD)",Regional district,5929018,"Sunshine Coast A, BC",2719,56,56,63,68,74,66,98,96,86,132,188,254,333,381,336,218,115,99,790,68,47,20,1,50,35,15,0,18,12,5,1,1333,92,294,240,163,169,375,85084.23827,1216,152,326,198,219,46,275,2475,1076,941,135,1399,2650,70,9,0,11,17,10,9,0,0,0,14,0,0,2580,2650,141,2509,2650,2246,1383,863,389,2650,18,1333,486,647,100,57,43
5939808,"Switsemalph 3, BC (IRI)",Switsemalph 3,Indian reserve,5939,"Columbia-Shuswap, BC (RD)",Regional district,5939039,"Columbia-Shuswap D, BC",78,5,3,4,4,5,10,7,3,3,1,3,8,9,7,4,2,0,0,17,7,4,3,0,6,3,3,0,4,3,1,0,24,5,7,3,2,2,5,57567.01,44,13,13,18,0,0,0,66,41,36,5,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,72,6,78,70,49,21,8,78,2,24,6,6,4,4,4
5909816,"Spuzzum 1, BC (IRI)",Spuzzum 1,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",47,2,2,3,3,2,3,5,3,2,3,3,3,3,3,2,2,1,2,9,1,1,0,0,1,1,0,0,0,0,0,0,16,3,6,3,2,1,1,49168.09,25,11,13,0,0,1,0,40,24,24,0,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,38,9,47,46,46,0,1,47,0,16,4,8,1,0,3
5909831,"Yakweakwioose 12, BC (IRI)",Yakweakwioose 12,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909036,"Fraser Valley E, BC",50,5,4,3,4,2,6,2,0,3,5,2,4,4,2,1,1,1,1,9,7,6,0,1,5,3,1,1,5,5,0,0,12,2,5,3,2,0,0,40460.85,26,14,12,0,0,0,0,38,22,22,0,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,49,49,0,1,50,0,12,0,3,3,3,3
5923035,"Alberni-Clayoquot D, BC (RDA)",Alberni-Clayoquot D,Regional district electoral area,5923,"Alberni-Clayoquot, BC (RD)",Regional district,5923035,"Alberni-Clayoquot D, BC",1695,50,47,52,53,48,51,67,72,68,86,112,175,220,220,175,107,53,39,602,41,36,5,0,34,30,4,0,7,6,1,0,869,43,133,125,107,93,368,101807.1671,851,76,222,149,217,26,161,1538,781,712,69,757,1687,8,5,0,0,0,0,0,0,0,0,0,0,3,1679,1687,130,1557,1687,1512,1078,434,175,1687,4,869,261,464,91,40,13
5924804,"Campbell River 11, BC (IRI)",Campbell River 11,Indian reserve,5924,"Strathcona, BC (RD)",Regional district,5924042,"Strathcona D (Oyster Bay - Buttle Lake), BC",397,13,24,26,25,23,23,21,17,20,30,36,32,31,28,23,15,5,5,103,27,13,10,4,16,5,7,4,11,8,3,0,147,23,30,25,31,16,22,61211.1,205,35,46,50,68,6,0,315,192,172,20,123,378,0,0,0,0,0,0,0,0,0,0,0,0,0,378,378,314,64,378,271,193,78,83,378,0,147,37,48,28,17,17
5924054,"Strathcona C, BC (RDA)",Strathcona C,Regional district electoral area,5924,"Strathcona, BC (RD)",Regional district,5924054,"Strathcona C, BC",2538,87,84,87,83,89,90,108,117,115,119,146,209,312,325,290,160,71,46,800,84,61,19,4,63,47,14,2,21,14,5,2,1247,172,313,222,164,124,252,67198.63088,1182,71,337,136,289,43,306,2207,1103,1016,87,1104,2465,39,12,0,13,0,0,0,0,0,0,0,0,14,2426,2465,90,2375,2465,1979,1255,724,486,2465,4,1247,411,593,137,73,33
5909036,"Fraser Valley E, BC (RDA)",Fraser Valley E,Regional district electoral area,5909,"Fraser Valley, BC (RD)",Regional district,5909036,"Fraser Valley E, BC",1572,51,46,62,66,55,77,75,84,73,95,127,147,177,149,124,75,46,43,485,66,55,11,0,46,37,9,0,20,18,2,0,726,97,162,131,96,73,167,68531.69835,778,82,261,145,199,23,68,1304,722,675,47,582,1463,76,17,23,0,11,4,12,0,0,0,9,0,0,1387,1463,151,1312,1463,1333,889,444,130,1463,20,726,238,331,86,50,21
5909879,"Holachten 8, BC (IRI)",Holachten 8,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909062,"Fraser Valley G, BC",320,16,15,20,17,15,17,18,18,13,17,21,21,25,26,24,17,11,9,106,33,24,9,0,29,20,9,0,4,4,0,0,161,23,48,33,23,12,22,54038.66,150,36,46,15,25,7,21,269,133,124,9,136,320,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320,113,207,320,315,196,119,5,320,1,161,53,76,13,19,0
5931833,"Mission 5, BC (IRI)",Mission 5,Indian reserve,5931,"Squamish-Lillooet, BC (RD)",Regional district,5931034,"Squamish-Lillooet B, BC",25,1,2,3,1,3,2,0,0,1,1,1,3,1,1,1,2,1,1,3,1,0,0,1,1,0,0,1,0,0,0,0,7,1,3,1,1,0,1,48893.27,9,5,3,0,0,0,1,19,12,11,1,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,24,1,25,25,25,0,0,25,0,7,2,2,1,0,2
5905050,"Kootenay Boundary C / Christina Lake, BC (RDA)",Kootenay Boundary C / Christina Lake,Regional district electoral area,5905,"Kootenay Boundary, BC (RD)",Regional district,5905030,"Kootenay Boundary B / Lower Columbia-Old-Glory, BC",1385,27,48,56,60,46,31,35,57,65,84,88,108,154,175,151,91,61,48,484,59,43,13,3,34,26,6,2,25,17,7,1,674,38,163,146,83,70,174,84838.24233,620,47,180,99,154,22,118,1231,570,529,41,661,1361,22,0,0,3,10,0,0,0,0,0,9,0,0,1339,1361,135,1226,1361,1190,693,497,171,1361,0,674,186,361,64,54,9
5917041,"Colwood, BC (CY)",Colwood,City,5917,"Capital, BC (RD)",Regional district,5917056,"Juan de Fuca (Part 2), BC",18617,956,1064,1000,1022,928,1209,1382,1456,1279,1249,1292,1367,1223,1073,930,577,327,283,5339,759,469,248,42,562,351,178,33,213,130,73,10,7062,275,669,873,998,1010,3237,111666.8241,10439,757,3215,1103,2770,271,2323,15449,10612,10211,401,4837,18469,1601,460,206,163,222,184,91,35,14,76,76,21,53,16868,18469,869,17600,18469,16111,10190,5921,2165,18469,283,7062,1466,2687,1246,1187,476
5919803,"Tsussie 6, BC (IRI)",Tsussie 6,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919008,"North Cowichan, BC",117,17,11,9,10,12,8,8,9,9,5,4,5,5,3,1,1,0,0,20,12,8,4,0,11,7,3,1,6,4,2,0,26,3,9,7,4,0,3,49619.07,53,19,18,0,11,0,5,80,53,44,9,27,117,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,106,11,117,117,117,0,0,117,0,26,5,4,6,0,11
5919015,"Cowichan Valley G, BC (RDA)",Cowichan Valley G,Regional district electoral area,5919,"Cowichan Valley, BC (RD)",Regional district,5919015,"Cowichan Valley G, BC",2490,46,59,69,85,95,92,90,92,97,107,154,238,296,317,288,176,101,88,810,65,44,16,5,45,35,8,2,22,11,8,3,1103,59,167,162,183,131,401,91596.62655,1151,69,271,189,312,56,254,2279,1042,982,60,1237,2453,39,11,0,0,8,0,0,0,0,0,9,11,0,2414,2453,112,2341,2453,2121,1384,737,319,2453,22,1103,260,587,128,95,33
5917809,"Becher Bay 1, BC (IRI)",Becher Bay 1,Indian reserve,5917,"Capital, BC (RD)",Regional district,5917056,"Juan de Fuca (Part 2), BC",110,3,8,11,8,8,9,9,10,9,6,5,7,6,4,4,2,1,0,34,10,4,5,1,9,3,5,1,1,1,0,0,45,10,11,5,8,3,8,55993.51,61,15,11,5,30,0,0,88,59,52,7,29,110,3,3,0,0,0,0,0,0,0,0,0,0,0,107,110,87,23,110,105,70,35,5,110,0,45,15,11,9,5,5
5919043,"Cowichan Valley A, BC (RDA)",Cowichan Valley A,Regional district electoral area,5919,"Cowichan Valley, BC (RD)",Regional district,5919046,"Cowichan Valley B, BC",5321,152,202,242,295,267,199,201,235,272,343,440,524,527,508,404,235,145,130,1577,163,108,46,9,102,69,27,6,66,44,19,3,2139,136,283,319,289,261,851,103702.3745,2661,206,668,270,696,92,729,4596,2665,2529,136,1931,5172,234,73,22,45,33,0,30,0,17,13,1,0,0,4938,5172,211,4961,5172,4423,2655,1768,671,5172,83,2139,491,968,315,255,110
5933810,"Chuchhraischin, BC (IRI)",Chuchhraischin,Indian reserve,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5921036,"Nanaimo H, BC (RDA)",Nanaimo H,Regional district electoral area,5921,"Nanaimo, BC (RD)",Regional district,5921036,"Nanaimo H, BC",4127,106,132,140,130,110,107,148,165,159,189,279,395,528,531,436,287,165,120,1269,102,72,28,2,80,60,19,1,26,15,10,1,1850,208,402,340,265,174,461,76932.85235,1961,231,606,259,451,67,347,3729,1749,1618,131,1980,4107,187,13,12,39,15,0,67,0,12,0,10,4,15,3920,4107,330,3777,4107,3346,1955,1391,735,4107,57,1850,505,956,167,141,81
5921807,"Nanaimo River, BC (IRI)",Nanaimo River,Indian reserve,5921,"Nanaimo, BC (RD)",Regional district,5921007,"Nanaimo, BC",424,16,26,41,40,26,39,35,23,26,30,23,22,19,14,18,15,6,5,95,30,18,7,5,20,15,1,4,12,4,7,1,105,14,25,20,15,14,17,59490.33914,217,84,59,24,38,12,0,341,197,171,26,144,424,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424,384,40,424,271,160,111,135,424,16,105,14,23,18,19,31
5919811,"Shingle Point 4, BC (IRI)",Shingle Point 4,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919015,"Cowichan Valley G, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5926024,"Comox Valley C (Puntledge - Black Creek), BC (RDA)",Comox Valley C (Puntledge - Black Creek),Regional district electoral area,5926,"Comox Valley, BC (RD)",Regional district,5926024,"Comox Valley C (Puntledge - Black Creek), BC",9052,342,403,438,438,424,404,422,451,471,544,659,887,955,801,622,394,218,179,2745,263,184,59,20,175,123,36,16,101,69,28,4,3711,264,630,580,481,470,1286,92234.53179,4754,382,1375,709,1284,82,922,7804,4679,4384,295,3125,8981,193,52,26,39,0,16,21,0,3,0,14,12,10,8788,8981,365,8616,8981,7899,5148,2751,1047,8981,36,3711,850,1647,532,431,251
5933015,"Lytton, BC (VL)",Lytton,Village,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",268,16,12,8,6,5,14,21,20,13,13,14,20,25,24,21,16,12,8,84,13,13,0,0,5,5,0,0,8,8,0,0,152,30,40,26,17,16,23,54996.27,139,28,41,25,17,0,28,224,109,109,0,115,260,0,0,0,0,0,0,0,0,0,0,0,0,0,260,260,100,160,260,204,165,39,56,260,5,152,72,62,12,2,4
5919801,"Halalt 2, BC (IRI)",Halalt 2,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919008,"North Cowichan, BC",184,10,11,14,13,13,19,16,13,11,10,10,12,13,10,4,1,2,2,33,11,4,3,4,6,3,1,2,8,3,3,2,39,7,12,9,4,1,6,49312.44,104,38,20,12,34,0,0,149,98,86,12,51,184,0,0,0,0,0,0,0,0,0,0,0,0,0,184,184,172,12,184,184,184,0,0,184,0,39,1,11,6,6,15
5933873,"Stryen 9, BC (IRI)",Stryen 9,Indian reserve,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",80,7,7,7,6,9,8,4,2,5,9,7,5,2,1,1,0,0,0,24,6,5,0,1,0,0,0,0,6,5,0,1,26,3,9,6,3,3,2,56277.9,42,0,42,0,0,0,0,59,38,35,3,21,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,76,4,80,79,79,0,1,80,0,26,2,8,7,5,4
5909883,"Sachteen, BC (IRI)",Sachteen,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",13,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,46963.17,7,3,4,0,0,0,0,10,7,7,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,12,1,13,12,12,0,1,13,0,2,0,0,0,0,2
5917815,"Gordon River 2, BC (IRI)",Gordon River 2,Indian reserve,5917,"Capital, BC (RD)",Regional district,5917056,"Juan de Fuca (Part 2), BC",125,10,7,6,9,10,8,7,6,9,9,10,10,10,5,5,3,0,1,19,7,5,1,1,5,3,1,1,2,2,0,0,36,7,9,4,5,4,7,61266.28,57,19,19,0,13,0,6,76,54,46,8,22,98,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,92,6,98,79,64,15,4,98,0,36,11,11,5,5,4
5909808,"Puckatholetchin 11, BC (IRI)",Puckatholetchin 11,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",5,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,5711.47,3,1,1,0,0,1,0,4,3,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,1,5,4,4,0,1,5,0,1,0,0,0,0,1
5924048,"Strathcona A, BC (RDA)",Strathcona A,Regional district electoral area,5924,"Strathcona, BC (RD)",Regional district,5924042,"Strathcona D (Oyster Bay - Buttle Lake), BC",758,37,28,25,27,22,19,34,33,36,45,47,70,93,79,69,48,27,19,247,26,18,6,2,15,8,5,2,11,10,1,0,366,42,90,66,56,45,67,69749.81683,364,43,138,54,61,17,51,652,317,288,29,335,742,52,0,10,11,0,0,10,0,0,0,10,0,11,690,742,55,687,742,540,315,225,147,742,0,366,113,178,40,28,7
5941834,"Louis Squinas Ranch 14, BC (IRI)",Louis Squinas Ranch 14,Indian reserve,5941,"Cariboo, BC (RD)",Regional district,5941039,"Cariboo J, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5917049,"Highlands, BC (DM)",Highlands,District municipality,5917,"Capital, BC (RD)",Regional district,5917056,"Juan de Fuca (Part 2), BC",2410,94,108,129,131,114,112,147,157,175,173,197,244,219,164,110,71,38,27,672,54,33,18,3,40,27,12,1,20,10,8,2,841,28,67,107,83,93,463,126728.9465,1424,68,423,168,375,42,348,2079,1480,1426,54,599,2410,119,12,53,0,13,3,0,15,0,13,10,0,0,2291,2410,26,2384,2410,2147,1490,657,261,2410,27,841,146,339,126,151,79
