Census SubDivision Code,Census SubDivision Name,Census Subdivision Label,Census Sub Division Type,Census Division Code,Census Division Name,Census Division Type,Census Consolidated SubDivision Code,Census Consolidated Subdivision Name,Total Population,Total Pop Age 0-4,Total Pop Age 5-9,Total Pop Age 10 -14,Total Pop Age 15-19,Total Pop Age 20-24,Total Pop Age 25-29,Total Pop Age 30-34,Total Pop Age 35-39,Total Pop Age 40-44,Total Pop Age 45-49,Total Pop Age 50-54,Total Pop Age 55-59,Total Pop Age 60-64,Total Pop Age 65-69,Total Pop Age 70-74,Total Pop Age 75-79,Total Pop Age 80-84,Total Pop Age 85+,Total Census Family Households,Total Lone-Parent Family Households,Lone Parent Family Households with 1 Child,Lone Parent Family Households with 2 Children,Lone Parent Family Households with 3+ Children,Total Lone-Parent Female Family Households,Female Lone Parent Family Households with 1 Child,Female Lone Parent Family Households with 2 Children,Female Lone Parent Family Households with 3+ Children,Total Lone-Parent Male Family Households,Male Lone Parent Family Households with 1 Child,Male Lone Parent Family Households with 2 Children,Male Lone Parent Family Households with 3+ Children,Total Househoulds by Income,Households Income 0-19999,Households Income 20000-39999,Households Income 40000-59999,Households Income 60000-79999,Households Income 80000-99999,Households 100000+,Average Household Income,Household Population 25-64,Household 25-64 Education No Certificate Diploma Degree,Household 25-64 Education High School Diploma or Eq,Household 25-64 Education Apprenticeship Trades or Diploma,Household 25-64 Education College CEGEP Certificate or Diploma,Household 25-64 Education University Diploma or Cert Below Bachelor,Household 25-64 Education University Diploma or Cert Bachelor Level or above,Household Population 15Years or Over for Labor Force,Household population In the Labour Force,Household Pop Age 15+ Employed,Household Pop Age 15+ Unemployed,Household Pop Age 15+ Not in Labour Force,Household Population for Visible Minority,Household Population with Visible Minority,Household Population Chinese Visible Minority,Household Population South Asian Visible Minority,Household Population Black Visible Minority,Household Population Filipino Visible Minority,Household Population Latin American Visible Minority,Household Population Chinese Southeast Asian Minority,Household Population Arab Visible Minority,Household Population West Asian Visible Minority,Household Population Korean Visible Minority,Household Population Japanese Visible Minority,Household Population Other Visible Minority,Household Population Multiple Visible Minority,Household Population NOT a Visible Minority,Household Population for Aboriginal Identity,Household Population with Aboriginal Identity,Household Population with Non-Aboriginal Identity,Household Population for Immigrant Status,Household Population Non-Immigrant,Household Population Non-Immigrant in Province of Birth,Household Population Non-Immigrant outside of Province of Birth,Household Population Immigrant,Household Population for Recent Immigrants (2017-Present),Household Population of Recent Immigrants (2017-Present),Total Households For Household Size,1 Person Household,2 Persons Household,3 Persons Household,4 Persons Household,5 or more Persons Household
5949820,"Bulkley River 19, BC (IRI)",Bulkley River 19,Indian reserve,5949,"Kitimat-Stikine, BC (RD)",Regional district,5949028,"Kitimat-Stikine B, BC",224,25,24,24,25,18,10,17,18,12,16,12,7,3,5,4,2,1,1,39,15,12,0,3,16,15,0,1,2,0,0,2,56,8,22,7,6,4,9,61047.87,95,43,24,0,28,0,0,151,105,97,8,46,224,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,219,5,224,224,224,0,0,224,0,56,8,6,6,14,22
5933882,"Kanaka Bar, BC (IRI)",Kanaka Bar,Indian reserve,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",149,11,15,12,10,15,15,7,8,8,4,14,9,7,4,3,1,3,3,30,13,6,5,2,10,3,5,2,4,4,0,0,37,7,11,7,4,4,4,55137.62,72,19,53,0,0,0,0,111,76,69,7,35,149,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,131,18,149,147,147,0,2,149,1,37,7,0,6,9,15
5933878,"Yawaucht 11, BC (IRI)",Yawaucht 11,Indian reserve,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",4,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25229.08,2,1,0,0,1,0,0,3,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,3,3,0,1,4,0,1,0,0,0,1,0
5919812,"Cowichan Lake, BC (IRI)",Cowichan Lake,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919033,"Cowichan Valley F, BC",19,2,1,2,1,1,1,1,1,1,2,2,1,1,1,0,1,0,0,6,2,1,0,1,2,1,0,1,0,0,0,0,11,0,5,3,2,0,1,54629.67,10,5,5,0,0,0,0,14,9,9,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,14,5,19,19,19,0,0,19,0,11,5,4,2,0,0
5935018,"Peachland, BC (DM)",Peachland,District municipality,5935,"Central Okanagan, BC (RD)",Regional district,5935020,"Central Okanagan J, BC",5738,169,186,202,188,182,208,251,263,272,271,339,513,657,652,578,378,237,192,1910,184,131,42,11,143,105,30,8,47,31,13,3,2574,157,369,420,398,320,910,93564.31367,2772,257,842,412,743,80,438,5161,2853,2622,231,2308,5718,171,49,61,13,3,12,27,3,0,0,3,0,0,5547,5718,304,5414,5718,4674,2312,2362,990,5718,57,2574,586,1355,317,211,105
5931828,"Pashilqua 2, BC (IRI)",Pashilqua 2,Indian reserve,5931,"Squamish-Lillooet, BC (RD)",Regional district,5931034,"Squamish-Lillooet B, BC",61,1,1,4,7,4,5,7,6,7,7,3,0,4,3,1,1,0,0,5,2,1,0,1,3,2,0,1,0,0,0,0,8,1,3,2,1,0,1,48788.85,33,7,6,5,9,6,0,49,36,35,1,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,0,55,55,55,0,0,55,0,8,0,0,1,1,6
5955021,"Peace River D, BC (RDA)",Peace River D,Regional district electoral area,5955,"Peace River, BC (RD)",Regional district,5955021,"Peace River D, BC",6538,335,367,402,415,377,335,361,395,426,398,465,609,557,424,284,204,115,69,1792,158,98,44,16,87,49,31,7,72,50,13,9,2283,70,203,214,228,287,1281,141638.2017,3456,464,1140,740,706,50,356,5290,4096,3879,217,1194,6324,58,22,0,5,4,17,10,0,0,0,0,0,0,6266,6324,905,5419,6324,5962,4064,1898,362,6324,61,2283,443,952,350,342,196
5924820,"Tork 7, BC (IRI)",Tork 7,Indian reserve,5924,"Strathcona, BC (RD)",Regional district,5924054,"Strathcona C, BC",78,1,5,4,3,4,2,5,7,6,9,7,4,2,3,4,7,4,1,25,6,6,0,0,4,4,0,0,2,2,0,0,41,9,11,10,6,3,2,42989.95,42,18,0,13,11,0,0,68,33,31,2,35,78,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,74,4,78,77,77,0,1,78,0,41,15,18,5,3,0
5947026,"Queen Charlotte, BC (VL)",Queen Charlotte,Village,5947,"Skeena-Queen Charlotte, BC (RD)",Regional district,5947027,"Skeena-Queen Charlotte D, BC",903,55,38,38,39,31,37,73,65,57,57,58,73,89,83,56,28,14,12,259,33,26,5,2,22,16,5,1,11,10,0,1,427,49,79,49,59,42,149,85740.42269,496,60,94,23,123,26,170,743,568,550,18,175,874,72,16,11,0,14,0,0,0,0,0,29,0,2,802,874,152,722,874,770,491,279,100,874,7,427,158,155,64,38,12
5931820,"Fountain 12, BC (IRI)",Fountain 12,Indian reserve,5931,"Squamish-Lillooet, BC (RD)",Regional district,5931034,"Squamish-Lillooet B, BC",11,1,1,2,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,31048.86,5,2,2,0,0,0,1,7,5,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,2,11,11,11,0,0,11,0,2,0,0,1,0,1
