Poultry inventory,"Broilers, roasters and Cornish 5",,,,Turkeys 6,,,,Other poultry,,,
Unit of measure,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,
"East Kootenay E, British Columbia [CCS590401037]",3,0,170,0,1,0,x,0,0,4,0,15
"East Kootenay F, British Columbia [CCS590401046]",2,2,x,x,2,2,x,x,1,4,x,x
"East Kootenay G, British Columbia [CCS590401048]",1,3,x,55,0,0,0,0,2,0,x,0
"Central Kootenay A, British Columbia [CCS590403010]",1,2,x,x,2,0,x,0,3,2,44,x
"Central Kootenay B, British Columbia [CCS590403013]",8,9,"1,109",904,4,5,37,85,7,8,139,100
"Central Kootenay C, British Columbia [CCS590403017]",5,2,197,x,1,1,x,x,1,3,x,7
"Central Kootenay D, British Columbia [CCS590403039]",0,1,0,x,0,1,0,x,1,2,x,x
"Central Kootenay E, British Columbia [CCS590403041]",1,2,x,x,0,2,0,x,5,5,23,47
"Central Kootenay G, British Columbia [CCS590403047]",1,4,x,199,2,0,x,0,2,7,x,62
"Central Kootenay H, British Columbia [CCS590403052]",9,9,890,"2,369",3,4,x,52,6,5,36,37
"Central Kootenay J, British Columbia [CCS590403058]",4,5,169,x,2,4,x,47,5,6,69,50
"Central Kootenay K, British Columbia [CCS590403060]",6,3,x,92,2,3,x,8,4,3,x,x
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",3,3,230,x,1,3,x,9,5,4,38,56
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",6,6,680,x,4,3,x,20,8,8,163,140
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",11,6,933,x,9,3,95,134,9,9,203,147
"Cariboo D, British Columbia [CCS590541010]",6,5,150,333,3,3,34,51,3,6,x,41
"Cariboo E, British Columbia [CCS590541012]",3,3,x,155,4,3,33,x,3,4,196,74
"Cariboo F, British Columbia [CCS590541014]",9,9,759,898,10,5,108,70,8,8,60,122
"Cariboo G, British Columbia [CCS590541015]",5,2,206,x,2,3,x,36,4,1,185,x
"Cariboo H, British Columbia [CCS590541016]",3,3,x,x,2,3,x,13,3,3,19,x
"Cariboo L, British Columbia [CCS590541017]",7,4,618,642,5,4,88,70,5,5,43,42
"Cariboo A, British Columbia [CCS590541019]",8,5,715,970,1,2,x,x,2,5,x,47
"Cariboo B, British Columbia [CCS590541021]",9,5,853,x,7,5,147,62,6,8,92,122
"Cariboo C, British Columbia [CCS590541026]",5,1,x,x,2,0,x,0,0,1,0,x
"Cariboo I, British Columbia [CCS590541027]",5,4,830,276,6,2,x,x,3,5,22,49
"Cariboo J, British Columbia [CCS590541039]",2,2,x,x,2,2,x,x,5,4,205,45
"Cariboo K, British Columbia [CCS590541041]",3,2,x,x,1,3,x,5,6,2,51,x
"Fraser-Fort George H, British Columbia [CCS590553019]",7,13,x,603,5,4,85,21,6,10,92,105
"Fraser-Fort George A, British Columbia [CCS590553038]",4,2,x,x,6,5,69,45,3,8,x,45
"Fraser-Fort George C, British Columbia [CCS590553042]",3,8,160,462,2,6,x,43,8,6,290,139
"Fraser-Fort George D, British Columbia [CCS590553044]",5,6,353,476,3,5,32,84,11,8,159,62
"Fraser-Fort George E, British Columbia [CCS590553046]",3,1,x,x,2,1,x,x,1,1,x,x
"Fraser-Fort George F, British Columbia [CCS590553048]",2,3,x,239,2,2,x,x,1,5,x,x
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0,0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",3,3,140,x,3,3,51,41,5,4,90,63
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0,0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",7,11,x,x,6,4,x,70,5,8,24,x
"Kitimat-Stikine B, British Columbia [CCS590649028]",2,8,x,332,5,4,x,71,4,2,72,x
"Kitimat-Stikine A, British Columbia [CCS590649039] (Terminated)",0t,..t,0t,..t,0t,..t,0t,..t,0t,..t,0t,..t
"Bulkley-Nechako C, British Columbia [CCS590751015]",2,2,x,x,0,2,0,x,1,3,x,x
