Egg production,Table eggs,,,,Hatching eggs 8,,,
Unit of measure,Number of farms reporting,,Number of eggs (dozens),,Number of farms reporting,,Number of eggs (dozens),
"Bulkley-Nechako B, British Columbia [CCS590751028]",9,5,"3,039",x,0,1,0,x
"Bulkley-Nechako E, British Columbia [CCS590751031]",15,8,"5,393","1,938",0,1,0,x
"Bulkley-Nechako A, British Columbia [CCS590751051]",32,32,"14,480","15,605",1,4,x,27
"Bulkley-Nechako G, British Columbia [CCS590751053]",2,4,x,777,0,0,0,0
"Stikine Region, British Columbia [CCS590757022]",..,0,..,0,..,0,..,0
"Peace River D, British Columbia [CCS590855021]",21,22,"71,294","138,550",2,1,x,x
"Peace River E, British Columbia [CCS590855023]",10,6,"4,349","16,327",0,1,0,x
"Peace River B, British Columbia [CCS590855040]",23,27,"30,940","46,330",2,3,x,x
"Peace River C, British Columbia [CCS590855042]",6,5,x,"5,984",0,2,0,x
"Northern Rockies, British Columbia [CCS590859007]",1,2,x,x,0,0,0,0
,,,,,,,,
Symbol legend:,,,,,,,,
.., not available for a specific reference period,,,,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes:,,,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. Reference maps provide the geographic boundaries, codes and names for all geographic areas appearing in the data tables. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm"">2016 Reference maps</a> or <a href=""http://www.statcan.gc.ca/ca-ra2011/110006-eng.htm"">2011 Reference maps</a>.""",,,,,,,
2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the <a href=http://www.statcan.gc.ca/pub/95-630-x/2017000/geo-eng.htm"">2016 Geographic area amalgamations</a> or the <a href=""http://www.statcan.gc.ca/eng/ca2011/110005/geo"">2011 Geographic area amalgamations</a>.""",,,,,,,
3,"The Yukon, Northwest Territories and Nunavut are not included in Canada totals.",,,,,,,
4,The data for the Yukon are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,,,,,,
5,The data for the Northwest Territories are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,,,,,,
6,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,,,,,,
7,"Census agricultural regions are composed of groups of adjacent census divisions. Prior to 2016, in Saskatchewan, census agricultural regions were made up of groups of census consolidated subdivisions, but these groups did not necessarily respect census division boundaries.",,,,,,,
8,"In 2016, due to improvements in coverage for the number of hatching eggs"" and ""farms reporting hatching egg production", caution should be taken when comparing the 2016 Census of Agriculture data with previous censuses.,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"How to cite: Statistics Canada. Table 32-10-0430-01  Egg production, Census of Agriculture, 2011 and 2016",,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210043001,,,,,,,,
